judgmentId,unitId,workerId,startedAt,submittedAt,Answer,Link
100,100,1,31-3-2023 13:00:32,31-3-2023 13:00:32,4,https://forms.gle/THgNSrpyhWR8Hthi8
101,100,2,31-3-2023 13:27:12,31-3-2023 13:27:12,4,https://forms.gle/THgNSrpyhWR8Hthi9
102,100,3,31-3-2023 13:30:01,31-3-2023 13:30:01,4,https://forms.gle/THgNSrpyhWR8Hthi10
103,100,4,31-3-2023 13:38:18,31-3-2023 13:38:18,4,https://forms.gle/THgNSrpyhWR8Hthi11
104,100,5,31-3-2023 13:42:55,31-3-2023 13:42:55,4,https://forms.gle/THgNSrpyhWR8Hthi12
105,100,6,31-3-2023 14:02:58,31-3-2023 14:02:58,3,https://forms.gle/THgNSrpyhWR8Hthi13
106,100,7,31-3-2023 16:42:35,31-3-2023 16:42:35,3,https://forms.gle/THgNSrpyhWR8Hthi14
107,100,8,31-3-2023 16:54:36,31-3-2023 16:54:36,4,https://forms.gle/THgNSrpyhWR8Hthi15
108,100,9,31-3-2023 18:15:08,31-3-2023 18:15:08,4,https://forms.gle/THgNSrpyhWR8Hthi16
109,100,10,31-3-2023 18:33:44,31-3-2023 18:33:44,4,https://forms.gle/THgNSrpyhWR8Hthi17
110,100,11,31-3-2023 18:46:47,31-3-2023 18:46:47,5,https://forms.gle/THgNSrpyhWR8Hthi18
111,100,12,31-3-2023 19:47:57,31-3-2023 19:47:57,2,https://forms.gle/THgNSrpyhWR8Hthi19
112,200,1,31-3-2023 13:00:32,31-3-2023 13:00:32,revolt/ strike,https://forms.gle/THgNSrpyhWR8Hthi20
113,200,2,31-3-2023 13:27:12,31-3-2023 13:27:12,protest/ revolt/ strike,https://forms.gle/THgNSrpyhWR8Hthi21
114,200,3,31-3-2023 13:30:01,31-3-2023 13:30:01,protest,https://forms.gle/THgNSrpyhWR8Hthi22
115,200,4,31-3-2023 13:38:18,31-3-2023 13:38:18,protest,https://forms.gle/THgNSrpyhWR8Hthi23
116,200,5,31-3-2023 13:42:55,31-3-2023 13:42:55,strike,https://forms.gle/THgNSrpyhWR8Hthi24
117,200,6,31-3-2023 14:02:58,31-3-2023 14:02:58,protest/ strike,https://forms.gle/THgNSrpyhWR8Hthi25
118,200,7,31-3-2023 16:42:35,31-3-2023 16:42:35,revolt/ insurrection/ strike,https://forms.gle/THgNSrpyhWR8Hthi26
119,200,8,31-3-2023 16:54:36,31-3-2023 16:54:36,protest,https://forms.gle/THgNSrpyhWR8Hthi27
120,200,9,31-3-2023 18:15:08,31-3-2023 18:15:08,protest/ strike,https://forms.gle/THgNSrpyhWR8Hthi28
121,200,10,31-3-2023 18:33:44,31-3-2023 18:33:44,protest/ strike,https://forms.gle/THgNSrpyhWR8Hthi29
122,200,11,31-3-2023 18:46:47,31-3-2023 18:46:47,protest,https://forms.gle/THgNSrpyhWR8Hthi30
123,200,12,31-3-2023 19:47:57,31-3-2023 19:47:57,protest/ revolt,https://forms.gle/THgNSrpyhWR8Hthi31
124,300,1,31-3-2023 13:00:32,31-3-2023 13:00:32,Justice,https://forms.gle/THgNSrpyhWR8Hthi32
125,300,2,31-3-2023 13:27:12,31-3-2023 13:27:12,Justice/ Desperation/ Anger,https://forms.gle/THgNSrpyhWR8Hthi33
126,300,3,31-3-2023 13:30:01,31-3-2023 13:30:01,Violence/ Justice/ Desperation/ Anger,https://forms.gle/THgNSrpyhWR8Hthi34
127,300,4,31-3-2023 13:38:18,31-3-2023 13:38:18,Anger,https://forms.gle/THgNSrpyhWR8Hthi35
128,300,5,31-3-2023 13:42:55,31-3-2023 13:42:55,Violence/ Desperation/ Anger,https://forms.gle/THgNSrpyhWR8Hthi36
129,300,6,31-3-2023 14:02:58,31-3-2023 14:02:58,Justice/ Anger,https://forms.gle/THgNSrpyhWR8Hthi37
130,300,7,31-3-2023 16:42:35,31-3-2023 16:42:35,Violence/ Anger,https://forms.gle/THgNSrpyhWR8Hthi38
131,300,8,31-3-2023 16:54:36,31-3-2023 16:54:36,Desperation/ Anger,https://forms.gle/THgNSrpyhWR8Hthi39
132,300,9,31-3-2023 18:15:08,31-3-2023 18:15:08,Desperation/ Anger,https://forms.gle/THgNSrpyhWR8Hthi40
133,300,10,31-3-2023 18:33:44,31-3-2023 18:33:44,Anger,https://forms.gle/THgNSrpyhWR8Hthi41
134,300,11,31-3-2023 18:46:47,31-3-2023 18:46:47,Violence/ Justice/ Desperation/ Anger,https://forms.gle/THgNSrpyhWR8Hthi42
135,300,12,31-3-2023 19:47:57,31-3-2023 19:47:57,Desperation,https://forms.gle/THgNSrpyhWR8Hthi43